ID,Condition,Sentence,Construction,Semantic_Role
1,T – T,"The photographer used the camera, and the reporter did too.",VP-ellipsis,Agent
1,T – AT,"The photographer used the camera, and the butcher did too.",VP-ellipsis,Agent
1,AT – T,"The grandfather used the camera, and the reporter did too.",VP-ellipsis,Agent
1,AT – AT,"The grandfather used the camera, and the butcher did too.",VP-ellipsis,Agent
1,T – SP violation,"The photographer used the camera, and the bike did too.",VP-ellipsis,Agent
2,T – T,"The engineer completed the project, but the student didn’t.",VP-ellipsis,Agent
2,T – AT,"The engineer completed the project, but the cyclist didn’t.",VP-ellipsis,Agent
2,AT – T,"The child completed the project, but the student didn’t.",VP-ellipsis,Agent
2,AT – AT,"The child completed the project, but the cyclist didn’t. ",VP-ellipsis,Agent
2,T – SP violation,"The engineer completed the project, but the ball didn’t.",VP-ellipsis,Agent
3,T – T,"The barber cuts the hair, and the hairdresser does too.",VP-ellipsis,Agent
3,T – AT,"The barber cuts the hair, and the butcher does too.",VP-ellipsis,Agent
3,AT – T,"The doctor cuts the hair, and the hairdresser does too. ",VP-ellipsis,Agent
3,AT – AT,"The doctor cuts the hair, and the butcher does too.",VP-ellipsis,Agent
3,T – SP violation,"The barber cuts the hair, and happiness does too.",VP-ellipsis,Agent
4,T – T,"The butcher used the knife, and the soldier did too.",VP-ellipsis,Agent
4,T – AT,"The butcher used the knife, and the teacher did too.",VP-ellipsis,Agent
4,AT – T,"The bricklayer used the knife, and the soldier did too.",VP-ellipsis,Agent
4,AT – AT,"The bricklayer used the knife, and the teacher did too.",VP-ellipsis,Agent
4,T – SP violation,"The butcher used the knife, and the dish did too.",VP-ellipsis,Agent
5,T – T,"The snowboarder flips the board, but the surfer doesn’t.",VP-ellipsis,Agent
5,T – AT,"The snowboarder flips the board, but the hairstylist doesn’t.",VP-ellipsis,Agent
5,AT – T,"The hydraulic flips the board, but the surfer doesn’t.",VP-ellipsis,Agent
5,AT – AT,"The hydraulic flips the board, but the hairstylist doesn’t.",VP-ellipsis,Agent
5,T – SP violation,"The snowboarder flips the board, but the phone doesn’t.",VP-ellipsis,Agent
6,T – T,"The comedian entertained the audience, and the speaker did too.",VP-ellipsis,Agent
6,T – AT,"The comedian entertained the audience, and the student did too.",VP-ellipsis,Agent
6,AT – T,"The doctor entertained the audience, and the speaker did too.",VP-ellipsis,Agent
6,AT – AT,"The doctor entertained the audience, and the student did too.",VP-ellipsis,Agent
6,T – SP violation,"The comedian entertained the audience, and the bottle did too.",VP-ellipsis,Agent
7,T – T,"The sculptor carved the stone, but the artist didn’t.",VP-ellipsis,Agent
7,T – AT,"The sculptor carved the stone, but the butcher didn’t.",VP-ellipsis,Agent
7,AT – T,"The therapist carved the stone, but the artist didn’t.",VP-ellipsis,Agent
7,AT – AT,"The therapist carved the stone, but the butcher didn’t.",VP-ellipsis,Agent
7,T – SP violation,"The sculptor carved the stone, but the sound didn’t.",VP-ellipsis,Agent
8,T – T,"The soldier wore a helmet, and so did the biker.",Do-x/ Do-so anaphora,Agent
8,T – AT,"The soldier wore a helmet, and so did the professor.",Do-x/ Do-so anaphora,Agent
8,AT – T,"The swimmer wore a helmet, and so did the biker.",Do-x/ Do-so anaphora,Agent
8,AT – AT,"The swimmer wore a helmet, and so did the professor.",Do-x/ Do-so anaphora,Agent
8,T – SP violation,"The soldier wore a helmet, and so did the tree.",Do-x/ Do-so anaphora,Agent
9,T – T,"The teacher helped the child, and the mother did the same thing.",Do-x/ Do-so anaphora,Agent
9,T – AT,"The teacher helped the child, and the cook did the same thing.",Do-x/ Do-so anaphora,Agent
9,AT – T,"The florist helped the child, and the mother did the same thing.",Do-x/ Do-so anaphora,Agent
9,AT – AT,"The florist helped the child, and the cook did the same thing. ",Do-x/ Do-so anaphora,Agent
9,T – SP violation,"The teacher helped the child, and the boat did the same thing.",Do-x/ Do-so anaphora,Agent
10,T – T,"The programmer uses the computer, and so does the student.",Do-x/ Do-so anaphora,Agent
10,T – AT,"The programmer uses the computer, and so does the farmer.",Do-x/ Do-so anaphora,Agent
10,AT – T,"The lumberjack uses the computer, and so does the student.",Do-x/ Do-so anaphora,Agent
10,AT – AT,"The lumberjack uses the computer, and so does the farmer.",Do-x/ Do-so anaphora,Agent
10,T – SP violation,"The programmer uses the computer, and so does the chair.",Do-x/ Do-so anaphora,Agent
11,T – T,"The spectator bought a ticket, and  the passenger did so too.",Do-x/ Do-so anaphora,Agent
11,T – AT,"The spectator bought a ticket, and the cook did so too.",Do-x/ Do-so anaphora,Agent
11,AT – T,"The housewife bought a ticket, and the passenger did so too.",Do-x/ Do-so anaphora,Agent
11,AT – AT,"The housewife bought a ticket, and the cook did so too.",Do-x/ Do-so anaphora,Agent
11,T – SP violation,"The spectator bought a ticket, and the turtle did so too.",Do-x/ Do-so anaphora,Agent
12,T – T,"The terrorist released the hostage, and the soldiers did the same thing.",Do-x/ Do-so anaphora,Agent
12,T – AT,"The terrorist released the hostage, and the artist did the same thing.",Do-x/ Do-so anaphora,Agent
12,AT – T,"The electrician released the hostage, and the soldiers did the same thing.",Do-x/ Do-so anaphora,Agent
12,AT – AT,"The electrician released the hostage, and the artist did the same thing.",Do-x/ Do-so anaphora,Agent
12,T – SP violation,"The terrorist released the hostage, and the jacket did the same thing.",Do-x/ Do-so anaphora,Agent
13,T – T,"The farmer plowed the field, and the man did so too.",Do-x/ Do-so anaphora,Agent
13,T – AT,"The farmer plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent
13,AT – T,"The bartender plowed the field, and the man did so too.",Do-x/ Do-so anaphora,Agent
13,AT – AT,"The bartender plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent
13,T – SP violation,"The farmer plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent
14,T – T,"The carpenter grabbed the board, and so did the surfer.",Do-x/ Do-so anaphora,Agent
14,T – AT,"The carpenter grabbed the board, and so did the monkey.",Do-x/ Do-so anaphora,Agent
14,AT – T,"The dancer grabbed the board, and so did the surfer.",Do-x/ Do-so anaphora,Agent
14,AT – AT,"The dancer grabbed the board, and so did the monkey.",Do-x/ Do-so anaphora,Agent
14,T – SP violation,"The carpenter grabbed the board, and so did the coffee.",Do-x/ Do-so anaphora,Agent
15,T – T,"The pyromaniac starts the fire, and the pilot the race. ",Gapping,Agent
15,T – AT,"The pyromaniac starts the fire, and the singer the race.",Gapping,Agent
15,AT – T,"The biker starts the fire, and the pilot the race.",Gapping,Agent
15,AT – AT,"The biker starts the fire, and the singer the race.",Gapping,Agent
15,T – SP violation,"The pyromaniac starts the fire, and the leaf the race.",Gapping,Agent
16,T – T,"The truck has hit the car, and the policeman the demonstrator.",Gapping,Agent
16,T – AT,"The truck has hit the car, and the grandmother the demonstrator.",Gapping,Agent
16,AT – T,"The footballer has hit the car, and the policeman the demonstrator.",Gapping,Agent
16,AT – AT,"The footballer has hit the car, and the grandmother the demonstrator.",Gapping,Agent
16,T – SP violation,"The truck has hit the car, and the air the demonstrator.",Gapping,Agent
17,T – T,"The biologist uses the microscope, and the teacher the blackboard.",Gapping,Agent
17,T – AT,"The biologist uses the microscope, and the climber the blackboard.",Gapping,Agent
17,AT – T,"The barber uses the microscope, and the teacher the blackboard.",Gapping,Agent
17,AT – AT,"The barber uses the microscope, and the climber the blackboard.",Gapping,Agent
17,T – SP violation,"The biologist uses the microscope, and the bird the blackboard.",Gapping,Agent
18,T – T,"The policeman fights the crime, and the firefighter the fire.",Gapping,Agent
18,T – AT,"The policeman fights the crime, and the professor the fire.",Gapping,Agent
18,AT – T,"The pupil fights the crime, and the firefighter the fire.",Gapping,Agent
18,AT – AT,"The pupil fights the crime, and the professor the fire.",Gapping,Agent
18,T – SP violation,"The policeman fights the crime, and the glass the fire.",Gapping,Agent
19,T – T,"The bartender shook the drink, and the cheerleader the flag.",Gapping,Agent
19,T – AT,"The bartender shook the drink, and the waiter the flag.",Gapping,Agent
19,AT – T,"The athlete shook the drink, and the cheerleader the flag.",Gapping,Agent
19,AT – AT,"The athlete shook the drink, and the waiter the flag.",Gapping,Agent
19,T – SP violation,"The bartender shook the drink, and the stone the flag.",Gapping,Agent
20,T – T,"The hound fetches the bird, and the waiter the water.",Gapping,Agent
20,T – AT,"The hound fetches the bird, and the baker the water.",Gapping,Agent
20,AT – T,"The fish fetches the bird, and the waiter the water.",Gapping,Agent
20,AT – AT,"The fish fetches the bird, and the baker the water.",Gapping,Agent
20,T – SP violation,"The hound fetches the bird, and the car the water.",Gapping,Agent
21,T – T,"The nurse will wash the infant, and the hairstylist will the hair.",Pseudo-gapping,Agent
21,T – AT,"The nurse will wash the infant, and the banker will the hair.",Pseudo-gapping,Agent
21,AT – T,"The carpenter will wash the infant, and the hairstylist will the hair.",Pseudo-gapping,Agent
21,AT – AT,"The carpenter will wash the infant, and the banker will the hair.",Pseudo-gapping,Agent
21,T – SP violation,"The nurse will wash the infant, and the jacket will the hair. ",Pseudo-gapping,Agent
22,T – T,"The student will hear the lecture, and the nanny will the baby.",Pseudo-gapping,Agent
22,T – AT,"The student will hear the lecture, and the driver will the baby.",Pseudo-gapping,Agent
22,AT – T,"The soldier will hear the lecture, and the nanny will the baby.",Pseudo-gapping,Agent
22,AT – AT,"The soldier will hear the lecture, and the driver will the baby.",Pseudo-gapping,Agent
22,T – SP violation,"The student will hear the lecture, and the moon will the baby.",Pseudo-gapping,Agent
23,T – T,"The parent will give a present, and the teacher will the homework.",Pseudo-gapping,Agent
23,T – AT,"The parent will give a present, and the president will the homework.",Pseudo-gapping,Agent
23,AT – T,"The cook will give a present, and the teacher will the homework.",Pseudo-gapping,Agent
23,AT – AT,"The cook will give a present, and the president will the homework.",Pseudo-gapping,Agent
23,T – SP violation,"The parent will give a present, and the bird will the homework.",Pseudo-gapping,Agent
24,T – T,"The sergeant will assign a mission, and the boss will a job.",Pseudo-gapping,Agent
24,T – AT,"The sergeant will assign a mission, and the father will a job.",Pseudo-gapping,Agent
24,AT – T,"The swimmer will assign a mission, and the boss will a job.",Pseudo-gapping,Agent
24,AT – AT,"The swimmer will assign a mission, and the father will a job.",Pseudo-gapping,Agent
24,T – SP violation,"The sergeant will assign a mission, and the duck will a job.",Pseudo-gapping,Agent
25,T – T,"The child will lend a pen, and the usurer will the money.",Pseudo-gapping,Agent
25,T – AT,"The child will lend a pen, and the artist will the money.",Pseudo-gapping,Agent
25,AT – T,"The traveller will lend a pen, and the usurer will the money.",Pseudo-gapping,Agent
25,AT – AT,"The traveller will lend a pen, and the artist will the money.",Pseudo-gapping,Agent
25,T – SP violation,"The child will lend a pen, and the computer will the money.",Pseudo-gapping,Agent
26,T – T,"The journalist writes an article, and the professor a book.",Gapping,Patient
26,T – AT,"The journalist writes an article, and the professor a magazine.",Gapping,Patient
26,AT – T,"The journalist writes a song, and the professor a book.",Gapping,Patient
26,AT – AT,"The journalist writes a song, and the professor a magazine. ",Gapping,Patient
26,T – SP violation,"The journalist writes an article, and the professor an apple.",Gapping,Patient
27,T – T,"The violinist will play the violin, and the musician a song.",Gapping,Patient
27,T – AT,"The violinist will play the violin, and the musician the flute.",Gapping,Patient
27,AT – T,"The violinist will play the trumpet, and the musician a song.",Gapping,Patient
27,AT – AT,"The violinist will play the trumpet, and the musician the flute.",Gapping,Patient
27,T – SP violation,"The violinist will play the violin, and the musician the water.",Gapping,Patient
28,T – T,"The florist sells flowers, and the butcher meat.",Gapping,Patient
28,T – AT,"The florist sells flowers, and the butcher weapons.",Gapping,Patient
28,AT – T,"The florist sells bikes, and the butcher meat.",Gapping,Patient
28,AT – AT,"The florist sells bikes, and the butcher weapons.",Gapping,Patient
28,T – SP violation,"The florist sells flowers, and the butcher the air.",Gapping,Patient
29,T – T,"The knight holds the sword, and the champion the cup.",Gapping,Patient
29,T – AT,"The knight holds the sword, and the champion the guitar.",Gapping,Patient
29,AT – T,"The knight holds the camera, and the champion the cup.",Gapping,Patient
29,AT – AT,"The knight holds the camera, and the champion the guitar.",Gapping,Patient
29,T – SP violation,"The knight holds the sword, and the champion the rain.",Gapping,Patient
30,T – T,"The businessman is reading the report, and the customer the menu.",Gapping,Patient
30,T – AT,"The businessman is reading the report, and the customer the music.",Gapping,Patient
30,AT – T,"The businessman is reading fables, and the customer the menu.",Gapping,Patient
30,AT – AT,"The businessman is reading fables, and the customer the music.",Gapping,Patient
30,T – SP violation,"The businessman is reading the report, and the customer the cat.",Gapping,Patient
31,T – T,"The astronomer was observing the stars, and the teacher her pupils.",Gapping,Patient
31,T – AT,"The astronomer was observing the stars, and the teacher her sunglasses.",Gapping,Patient
31,AT – T,"The astronomer was observing the plants, and the teacher her pupils.",Gapping,Patient
31,AT – AT,"The astronomer was observing the plants, and the teacher her sunglasses.",Gapping,Patient
31,T – SP violation,"The astronomer was observing the plants, and the teacher her problems.",Gapping,Patient
32,T – T,"The mechanic is renting a truck, and the manager a room.",Gapping,Patient
32,T – AT,"The mechanic is renting a truck, and the manager a kayak.",Gapping,Patient
32,AT – T,"The mechanic is renting a boat, and the manager a room.",Gapping,Patient
32,AT – AT,"The mechanic is renting a boat, and the manager a kayak.",Gapping,Patient
32,T – SP violation,"The mechanic is renting a truck, and the manager the idea.",Gapping,Patient
33,T – T,"The scientist reported a finding, and the witness a crime.",Gapping,Patient
33,T – AT,"The scientist reported a finding, and the witness a birth.",Gapping,Patient
33,AT – T,"The scientist reported a marriage, and the witness a crime.",Gapping,Patient
33,AT – AT,"The scientist reported a marriage, and the witness a birth.",Gapping,Patient
33,T – SP violation,"The scientist reported a finding, and the witness the water.",Gapping,Patient
34,T – T,"The soldier dug a trench, and the dog a hole.",Gapping,Patient
34,T – AT,"The soldier dug a trench, and the dog a grave.",Gapping,Patient
34,AT – T,"The soldier dug a pool, and the dog a hole.",Gapping,Patient
34,AT – AT,"The soldier dug a pool, and the dog a grave.",Gapping,Patient
34,T – SP violation,"The soldier dug a trench, and the dog a person.",Gapping,Patient
35,T – T,"The waiter has delivered a drink, and the postman a mail.",Gapping,Patient
35,T – AT,"The waiter has delivered a drink, and the postman a punch.",Gapping,Patient
35,AT – T,"The waiter has delivered a speech, and the postman a mail.",Gapping,Patient
35,AT – AT,"The waiter has delivered a speech, and the postman a punch.",Gapping,Patient
35,T – SP violation,"The waiter has delivered a drink, and the postman the sun. ",Gapping,Patient
36,T – T,"The cook will mix ingredients, and the chemist will the substances.",Pseudo-gapping,Patient
36,T – AT,"The cook will mix ingredients, and the chemist will the music.",Pseudo-gapping,Patient
36,AT – T,"The cook will mix the paint, and the chemist will the substances.",Pseudo-gapping,Patient
36,AT – AT,"The cook will mix the paint, and the chemist will the music.",Pseudo-gapping,Patient
36,T – SP violation,"The cook will mix ingredients, and the chemist will the dog.",Pseudo-gapping,Patient
37,T – T,"The child will drink the coke, and the student will the coffee.",Pseudo-gapping,Patient
37,T – AT,"The child will drink the coke, and the student will the gasoline.",Pseudo-gapping,Patient
37,AT – T,"The child will drink the beer, and the student will the coffee.",Pseudo-gapping,Patient
37,AT – AT,"The child will drink the beer, and the student will the gasoline.",Pseudo-gapping,Patient
37,T – SP violation,"The child will drink the coke, and the student will the music.",Pseudo-gapping,Patient
38,T – T,"The child will visit his grandmother, and the tourist will the museum.",Pseudo-gapping,Patient
38,T – AT,"The child will visit his grandmother, and the tourist will the patient.",Pseudo-gapping,Patient
38,AT – T,"The child will visit the president, and the tourist will the museum.",Pseudo-gapping,Patient
38,AT – AT,"The child will visit the president, and the tourist will the patient.",Pseudo-gapping,Patient
38,T – SP violation,"The child will visit the president, and the tourist will the pen.",Pseudo-gapping,Patient
39,T – T,"The child will tell a lie, and the grandfather will a story.",Pseudo-gapping,Patient
39,T – AT,"The child will tell a lie, and the grandfather will the strategy.",Pseudo-gapping,Patient
39,AT – T,"The child will tell the verdict, and the grandfather will a story.",Pseudo-gapping,Patient
39,AT – AT,"The child will tell the verdict, and the grandfather will the strategy.",Pseudo-gapping,Patient
39,T – SP violation,"The child will tell a lie, and the grandfather will a cake. ",Pseudo-gapping,Patient
40,T – T,"The refugee will find shelter, and the animal will the food.",Pseudo-gapping,Patient
40,T – AT,"The refugee will find shelter, and the animal will the map.",Pseudo-gapping,Patient
40,AT – T,"The refugee will find the doll, and the animal will the food.",Pseudo-gapping,Patient
40,AT – AT,"The refugee will find the doll, and the animal will the map.",Pseudo-gapping,Patient
40,T – SP violation,"The refugee will find shelter, and the animal will the sadness.",Pseudo-gapping,Patient
41,T – T,"The waiter will open the bottle, and the child will the present.",Pseudo-gapping,Patient
41,T – AT,"The waiter will open the bottle, and the child will the congress.",Pseudo-gapping,Patient
41,AT – T,"The waiter will open the sarcophagus, and the child will the present.",Pseudo-gapping,Patient
41,AT – AT,"The waiter will open the sarcophagus, and the child will the congress.",Pseudo-gapping,Patient
41,T – SP violation,"The waiter will open the bottle, and the child will the sun. ",Pseudo-gapping,Patient
42,T – T,"The librarian will stack the books, and the lumberjack will the wood.",Pseudo-gapping,Patient
42,T – AT,"The librarian will stack the books, and the lumberjack will the suitcase.",Pseudo-gapping,Patient
42,AT – T,"The librarian will stack the supplies, and the lumberjack will the wood.",Pseudo-gapping,Patient
42,AT – AT,"The librarian will stack the supplies, and the lumberjack will the suitcase.",Pseudo-gapping,Patient
42,T – SP violation,"The librarian will stack the books, and the lumberjack will the river.",Pseudo-gapping,Patient
43,T – T,"The tailor will sew the dress, and the doctor will the wound.",Pseudo-gapping,Patient
43,T – AT,"The tailor will sew the dress, and the doctor will the shoe.",Pseudo-gapping,Patient
43,AT – T,"The tailor will sew the parachute, and the doctor will the wound.",Pseudo-gapping,Patient
43,AT – AT,"The tailor will sew the parachute, and the doctor will the shoe",Pseudo-gapping,Patient
43,T – SP violation,"The tailor will sew the dress, and the doctor will the banana.",Pseudo-gapping,Patient
44,T – T,"The fighter will kick the opponent, and the footballer will the ball.",Pseudo-gapping,Patient
44,T – AT,"The fighter will kick the opponent, and the footballer will the vase.",Pseudo-gapping,Patient
44,AT – T,"The fighter will kick the television, and the footballer will the ball.",Pseudo-gapping,Patient
44,AT – AT,"The fighter will kick the television, and the footballer will the vase.",Pseudo-gapping,Patient
44,T – SP violation,"The fighter will kick the opponent, and the footballer will the water.",Pseudo-gapping,Patient
45,T – T,"The climber will climb the rock, and the librarian will the ladder.",Pseudo-gapping,Patient
45,T – AT,"The climber will climb the rock, and the librarian will the tree.",Pseudo-gapping,Patient
45,AT – T,"The climber will climb the staircase, and the librarian will the ladder.",Pseudo-gapping,Patient
45,AT – AT,"The climber will climb the staircase, and the librarian will the tree.",Pseudo-gapping,Patient
45,T – SP violation,"The climber will climb the rock, and the librarian will the snow. ",Pseudo-gapping,Patient
46,T – T,"I know the electrician is checking something, but I don’t know what.",Sluicing,Patient
46,T – AT,"I know the electrician is checking something, but I don’t know who.",Sluicing,Patient
46,AT – T,"I know the electrician is checking someone, but I don’t know what.",Sluicing,Patient
46,AT – AT,"I know the electrician is checking someone, but I don’t know who.",Sluicing,Patient
46,T – SP violation,"I know the electrician is checking something, but I don’t know whom.",Sluicing,Patient
47,T – T,"The dog carried something, but I didn’t know what.",Sluicing,Patient
47,T – AT,"The dog carried something, but I didn’t know when.",Sluicing,Patient
47,AT – T,"The dog carried someone, but I didn’t know what.",Sluicing,Patient
47,AT – AT,"The dog carried someone, but I didn’t know when. ",Sluicing,Patient
47,T – SP violation,"The dog carried something, but I didn’t know whom.",Sluicing,Patient
48,T – T,"The teenager is hearing something, but his friend doesn’t know what.",Sluicing,Patient
48,T – AT,"The teenager is hearing something, but his friend doesn’t know who.",Sluicing,Patient
48,AT – T,"The teenager is hearing someone, but his friend doesn’t know what. ",Sluicing,Patient
48,AT – AT,"The teenager is hearing someone, but his friend doesn’t know who.",Sluicing,Patient
48,T – SP violation,"The teenager is hearing something, but his friend doesn’t know whom.",Sluicing,Patient
49,T – T,"The housewife is mopping something, but Sam doesn’t know what.",Sluicing,Patient
49,T – AT,"The housewife is mopping something, but Sam doesn’t know who.",Sluicing,Patient
49,AT – T,"The housewife is mopping someone, but Sam doesn’t know what.",Sluicing,Patient
49,AT – AT,"The housewife is mopping someone, but Sam doesn’t know who.",Sluicing,Patient
49,T – SP violation,"The housewife is mopping something, but Sam doesn’t know whom.",Sluicing,Patient
50,T – T,"The speleologist is examining something, but we don’t know what.",Sluicing,Patient
50,T – AT,"The speleologist is examining something, but we don’t know who. ",Sluicing,Patient
50,AT – T,"The speleologist is examining someone, but we don’t know what.",Sluicing,Patient
50,AT – AT,"The speleologist is examining someone, but we don’t know who.",Sluicing,Patient
50,T – SP violation,"The speleologist is examining something, but we don’t know whom.",Sluicing,Patient
51,T – T,"The businessman paid the bill with his credit card, and the student did with cash.",VP-ellipsis,Instrument
51,T – AT,"The businessman paid the bill with his credit card, and the student did with a bank transfer. ",VP-ellipsis,Instrument
51,AT – T,"The businessman paid the bill with coins, and the student did with cash. ",VP-ellipsis,Instrument
51,AT – AT,"The businessman paid the bill with coins, and the student did with a bank transfer. ",VP-ellipsis,Instrument
51,T – SP violation,"The businessman paid the bill with his credit card, and the student did with his hair.",VP-ellipsis,Instrument
52,T – T,"The dog drank water with the bowl, and the man did with the glass.",VP-ellipsis,Instrument
52,T – AT,"The dog drank water with the bowl, and the man did with the dish. ",VP-ellipsis,Instrument
52,AT – T,"The dog drank water with the bottle, and the man did with the glass. ",VP-ellipsis,Instrument
52,AT – AT,"The dog drank water with the bottle, and the man did with the dish. ",VP-ellipsis,Instrument
52,T – SP violation,"The dog drank water with the bowl, and the man did with the ball. ",VP-ellipsis,Instrument
53,T – T,"The mother prepares the food with the microwave, the cook will with the oven. ",VP-ellipsis,Instrument
53,T – AT,"The mother prepares the food with the microwave, the cook will with the kiln.",VP-ellipsis,Instrument
53,AT – T,"The mother prepares the food with the bonfire, the cook will with the oven.",VP-ellipsis,Instrument
53,AT – AT,"The mother prepares the food with the bonfire, the cook will with the kiln.",VP-ellipsis,Instrument
53,T – SP violation,"The mother prepares the food with the microwave, the cook will with the madness. ",VP-ellipsis,Instrument
54,T – T,"The singer performed the music with the guitar, the musician will with the bass.",VP-ellipsis,Instrument
54,T – AT,"The singer performed the music with the guitar, the musician will with the headphones.",VP-ellipsis,Instrument
54,AT – T,"The singer performed the music with the megaphone, the musician will with the bass.",VP-ellipsis,Instrument
54,AT – AT,"The singer performed the music with the megaphone, the musician will with the headphones.",VP-ellipsis,Instrument
54,T – SP violation,"The singer performed the music with the guitar, the musician will with the pocket. ",VP-ellipsis,Instrument
55,T – T,"The doctor healed the patient with the antibiotic, and the osteopath will with a massage.",VP-ellipsis,Instrument
55,T – AT,"The doctor healed the patient with the antibiotic, and the osteopath will with soda.",VP-ellipsis,Instrument
55,AT – T,"The doctor healed the patient with the gasoline, and the osteopath will with a massage.",VP-ellipsis,Instrument
55,AT – AT,"The doctor healed the patient with the gasoline, and the osteopath will with soda. ",VP-ellipsis,Instrument
55,T – SP violation,"The doctor healed the patient with the antibiotic, and the osteopath will with sunglasses.",VP-ellipsis,Instrument
56,T – T,"The father drank milk with the cup, and the newborn did the same thing with the bottle.",Do-x/ Do-so anaphora,Instrument
56,T – AT,"The father drank milk with the cup, and the newborn did the same thing with the glass. ",Do-x/ Do-so anaphora,Instrument
56,AT – T,"The father drank milk with the dish, and the newborn did the same thing with the bottle.  ",Do-x/ Do-so anaphora,Instrument
56,AT – AT,"The father drank milk with the dish, and the newborn did the same thing with the glass. ",Do-x/ Do-so anaphora,Instrument
56,T – SP violation,"The father drank milk with the cup, and the newborn did the same thing with the painting. ",Do-x/ Do-so anaphora,Instrument
57,T – T,"The mechanic fixed the bike with a wrench, and so did the cyclist with a screwdriver.",Do-x/ Do-so anaphora,Instrument
57,T – AT,"The mechanic fixed the bike with a wrench, and so did the cyclist with a spoon.",Do-x/ Do-so anaphora,Instrument
57,AT – T,"The mechanic fixed the bike with a tape, and so did the cyclist with a screwdriver.",Do-x/ Do-so anaphora,Instrument
57,AT – AT,"The mechanic fixed the bike with a tape, and so did the cyclist with a spoon. ",Do-x/ Do-so anaphora,Instrument
57,T – SP violation,"The mechanic fixed the bike with a wrench, and so did the cyclist with the potato.",Do-x/ Do-so anaphora,Instrument
58,T – T,"The child played with toys, and the teenager did so with videogames too.",Do-x/ Do-so anaphora,Instrument
58,T – AT,"The child played with toys, and the teenager did so with food too.",Do-x/ Do-so anaphora,Instrument
58,AT – T,"The child played with money, and the teenager did so with videogames too.",Do-x/ Do-so anaphora,Instrument
58,AT – AT,"The child played with money, and the teenager did so with food too.",Do-x/ Do-so anaphora,Instrument
58,T – SP violation,"The child played with toys, and the teenager did so with the sun too.",Do-x/ Do-so anaphora,Instrument
59,T – T,"The terrorist escaped with weapons, and so did civilians with supplies. ",Do-x/ Do-so anaphora,Instrument
59,T – AT,"The terrorist escaped with weapons, and so did civilians with the jewelry. ",Do-x/ Do-so anaphora,Instrument
59,AT – T,"The terrorist escaped with flowers, and so did civilians with supplies.",Do-x/ Do-so anaphora,Instrument
59,AT – AT,"The terrorist escaped with flowers, and so did civilians with the jewelry.",Do-x/ Do-so anaphora,Instrument
59,T – SP violation,"The terrorist escaped with weapons, and so did civilians with the sea.",Do-x/ Do-so anaphora,Instrument
60,T – T,"The tailor sewed with the sewing machine, and the doctor did the same thing with the needle.",Do-x/ Do-so anaphora,Instrument
60,T – AT,"The tailor sewed with the sewing machine, and the doctor did the same thing with scissors.",Do-x/ Do-so anaphora,Instrument
60,AT – T,"The tailor sewed with the pen, and the doctor did the same thing with the needle.",Do-x/ Do-so anaphora,Instrument
60,AT – AT,"The tailor sewed with the pen, and the doctor did the same thing with scissors.",Do-x/ Do-so anaphora,Instrument
60,T – SP violation,"The tailor sewed with the sewing machine, and the doctor did the same thing with the river.",Do-x/ Do-so anaphora,Instrument
61,T – T,"The child draws flowers with the pencil, and the painter with the brush.",Gapping,Instrument
61,T – AT,"The child draws flowers with the pencil, and the painter with the highlighter.",Gapping,Instrument
61,AT – T,"The child draws flowers with the scalpel, and the painter with the brush.",Gapping,Instrument
61,AT – AT,"The child draws flowers with the scalpel, and the painter with the highlighter.",Gapping,Instrument
61,T – SP violation,"The child draws flowers with the pencil, and the painter with the snow.",Gapping,Instrument
62,T – T,"The hairstylist fixes the hair with the hairdryer, and the barber with the gel.",Gapping,Instrument
62,T – AT,"The hairstylist fixes the hair with the hairdryer, and the barber with oil.",Gapping,Instrument
62,AT – T,"The hairstylist fixes the hair with the glue, and the barber with the gel.",Gapping,Instrument
62,AT – AT,"The hairstylist fixes the hair with the glue, and the barber with oil.",Gapping,Instrument
62,T – SP violation,"The hairstylist fixes the hair with the hairdryer, and the barber with the hat.",Gapping,Instrument
63,T – T,"The footballer hits the ball with his foot, and the tennis player with the racket.",Gapping,Instrument
63,T – AT,"The footballer hits the ball with his foot, and the tennis player with the hoe.",Gapping,Instrument
63,AT – T,"The footballer hits the ball with the bat, and the tennis player with the racket.",Gapping,Instrument
63,AT – AT,"The footballer hits the ball with the bat, and the tennis player with the hoe.",Gapping,Instrument
63,T – SP violation,"The footballer hits the ball with his foot, and the tennis player with the aunt. ",Gapping,Instrument
