ID,Condition,Sentence,Construction,Semantic_Role
64,T – T,"The dog digs a hole with its paw, and the farmer with the hoe.",Gapping,Instrument
64,T – AT,"The dog digs a hole with its paw, and the farmer with the pen.",Gapping,Instrument
64,AT – T,"The dog digs a hole with its tail, and the farmer with the hoe.",Gapping,Instrument
64,AT – AT,"The dog digs a hole with its tail, and the farmer with the pen.",Gapping,Instrument
64,T – SP violation,"The dog digs a hole with its paw, and the farmer with the wind.",Gapping,Instrument
65,T – T,"The child crossed the park with the bicycle, and the skater with rollerblades.",Gapping,Instrument
65,T – AT,"The child crossed the park with the bicycle, and the skater with the tricycle.",Gapping,Instrument
65,AT – T,"The child crossed the park with the truck, and the skater with rollerblades.",Gapping,Instrument
65,AT – AT,"The child crossed the park with the truck, and the skater with the tricycle.",Gapping,Instrument
65,T – SP violation,"The child crossed the park with the bicycle, and the skater with the jacket.",Gapping,Instrument
66,T – T,"The tourist will travel with the boat, and the billionaire will with the yacht.",Pseudo-gapping,Instrument
66,T – AT,"The tourist will travel with the boat, and the billionaire will with the kayak.",Pseudo-gapping,Instrument
66,AT – T,"The tourist will travel with the dinghy, and the billionaire will with the yacht.",Pseudo-gapping,Instrument
66,AT – AT,"The tourist will travel with the dinghy, and the billionaire will with the kayak.",Pseudo-gapping,Instrument
66,T – SP violation,"The tourist will travel with the boat, and the billionaire will with the sadness.",Pseudo-gapping,Instrument
67,T – T,"The fisherman will catch fish with the net, and the grandfather will with the fishing rod.",Pseudo-gapping,Instrument
67,T – AT,"The fisherman will catch fish with the net, and the grandfather will with the gun. ",Pseudo-gapping,Instrument
67,AT – T,"The fisherman will catch fish with the hammer, and the grandfather will with the fishing rod.",Pseudo-gapping,Instrument
67,AT – AT,"The fisherman will catch fish with the hammer, and the grandfather will with the gun.",Pseudo-gapping,Instrument
67,T – SP violation,"The fisherman will catch fish with the net, and the grandfather will with the croissant.",Pseudo-gapping,Instrument
68,T – T,"The photographer will take a picture with the camera, and the student will with the phone.",Pseudo-gapping,Instrument
68,T – AT,"The photographer will take a picture with the camera, and the student will with the computer.",Pseudo-gapping,Instrument
68,AT – T,"The photographer will take a picture with the tablet, and the student will with the phone.",Pseudo-gapping,Instrument
68,AT – AT,"The photographer will take a picture with the tablet, and the student will with the computer.",Pseudo-gapping,Instrument
68,T – SP violation,"The photographer will take a picture with the camera, and the student will with the pasta.",Pseudo-gapping,Instrument
69,T – T,"The beautician will hydrate the skin with cream, and the masseuse will with oil.",Pseudo-gapping,Instrument
69,T – AT,"The beautician will hydrate the skin with cream, and the masseuse will with gel.",Pseudo-gapping,Instrument
69,AT – T,"The beautician will hydrate the skin with the acid, and the masseuse will with oil.",Pseudo-gapping,Instrument
69,AT – AT,"The beautician will hydrate the skin with the acid, and the masseuse will with gel.",Pseudo-gapping,Instrument
69,T – SP violation,"The beautician will hydrate the skin with cream, and the masseuse will with tobacco.",Pseudo-gapping,Instrument
70,T – T,"The mother will water the plants with the watering can, the farmer will with the hose.",Pseudo-gapping,Instrument
70,T – AT,"The mother will water the plants with the watering can, the farmer will with the bucket.",Pseudo-gapping,Instrument
70,AT – T,"The mother will water the plants with the bottle, the farmer will with the hose.",Pseudo-gapping,Instrument
70,AT – AT,"The mother will water the plants with the bottle, the farmer will with the bucket.",Pseudo-gapping,Instrument
70,T – SP violation,"The mother will water the plants with the watering can, the farmer will with the hoe.",Pseudo-gapping,Instrument
71,T – T,"The policeman is hitting the demonstrator with something, but I don’t know what with.",Sluice-Stranding,Instrument
71,T – AT,"The policeman is hitting the demonstrator with something, but I don’t know who with.",Sluice-Stranding,Instrument
71,AT – T,"The policeman is hitting the demonstrator with someone, but I don’t know what with.",Sluice-Stranding,Instrument
71,AT – AT,"The policeman is hitting the demonstrator with someone, but I don’t know who with. ",Sluice-Stranding,Instrument
71,T – SP violation,"The policeman is hitting the demonstrator with something, but I don’t know where with.",Sluice-Stranding,Instrument
72,T – T,"The journalist is writing an article with something, but I’m not sure what with.",Sluice-Stranding,Instrument
72,T – AT,"The journalist is writing an article with something, but I’m not sure who with.",Sluice-Stranding,Instrument
72,AT – T,"The journalist is writing an article with someone, but I’m not sure what with.",Sluice-Stranding,Instrument
72,AT – AT,"The journalist is writing an article with someone, but I’m not sure who with.",Sluice-Stranding,Instrument
72,T – SP violation,"The journalist is writing an article with something, but I’m not sure how much with. ",Sluice-Stranding,Instrument
73,T – T,"The gardener cut the grass with something, but she didn’t know what with.",Sluice-Stranding,Instrument
73,T – AT,"The gardener cut the grass with something, but she didn’t know who with.",Sluice-Stranding,Instrument
73,AT – T,"The gardener cut the grass with someone, but she didn’t know what with.",Sluice-Stranding,Instrument
73,AT – AT,"The gardener cut the grass with someone, but she didn’t know who with.",Sluice-Stranding,Instrument
73,T – SP violation,"The gardener cut the grass with something, but she didn’t know where with.",Sluice-Stranding,Instrument
74,T – T,"The photographer was capturing the image with something, but he doesn’t know what with.",Sluice-Stranding,Instrument
74,T – AT,"The photographer was capturing the image with something, but he doesn’t know who with.",Sluice-Stranding,Instrument
74,AT – T,"The photographer was capturing the image with someone, but he doesn’t know what with. ",Sluice-Stranding,Instrument
74,AT – AT,"The photographer was capturing the image with someone, but he doesn’t know who with.",Sluice-Stranding,Instrument
74,T – SP violation,"The photographer was capturing the image with something, but he doesn’t know where with.",Sluice-Stranding,Instrument
75,T – T,"The cook flipped the pancake with something, but I didn’t know what with.",Sluice-Stranding,Instrument
75,T – AT,"The cook flipped the pancake with something, but I didn’t know who with.",Sluice-Stranding,Instrument
75,AT – T,"The cook flipped the pancake with someone, but I didn’t know what with. ",Sluice-Stranding,Instrument
75,AT – AT,"The cook flipped the pancake with someone, but I didn’t know who with.",Sluice-Stranding,Instrument
75,T – SP violation,"The cook flipped the pancake with something, but I didn’t know how much with.",Sluice-Stranding,Instrument
76,T – T,"The housewife cleaned the table in the kitchen, but the waiter didn’t in the restaurant.",VP-ellipsis,Location
76,T – AT,"The housewife cleaned the table in the kitchen, but the waiter didn’t in the classroom.",VP-ellipsis,Location
76,AT – T,"The housewife cleaned the table in the armory, but the waiter didn’t in the restaurant.",VP-ellipsis,Location
76,AT – AT,"The housewife cleaned the table in the armory, but the waiter didn’t in the classroom.",VP-ellipsis,Location
76,T – SP violation,"The housewife cleaned the table in the kitchen, but the waiter didn’t in the cat.",VP-ellipsis,Location
77,T – T,"The student used the computer in the library, and the professor did in the office.",VP-ellipsis,Location
77,T – AT,"The student used the computer in the library, and the professor did in the pub.",VP-ellipsis,Location
77,AT – T,"The student used the computer in the helicopter, and the professor did in the office.",VP-ellipsis,Location
77,AT – AT,"The student used the computer in the helicopter, and the professor did in the pub.",VP-ellipsis,Location
77,T – SP violation,"The student used the computer in the library, and the professor did in the shoes.",VP-ellipsis,Location
78,T – T,"The soldier celebrated the victory in the battlefield, the athlete will on the podium.",VP-ellipsis,Location
78,T – AT,"The soldier celebrated the victory in the battlefield, the athlete will in the car.",VP-ellipsis,Location
78,AT – T,"The soldier celebrated the victory in the university, the athlete will on the podium.",VP-ellipsis,Location
78,AT – AT,"The soldier celebrated the victory in the university, the athlete will in the car. ",VP-ellipsis,Location
78,T – SP violation,"The soldier celebrated the victory in the battlefield, the athlete will on the orange.",VP-ellipsis,Location
79,T – T,"The president delivered a speech in parliament, the priest did in the church.",VP-ellipsis,Location
79,T – AT,"The president delivered a speech in parliament, the priest did in the restaurant.",VP-ellipsis,Location
79,AT – T,"The president delivered a speech in the mountain, the priest did in the church.",VP-ellipsis,Location
79,AT – AT,"The president delivered a speech in the mountain, and the priest did in the restaurant.",VP-ellipsis,Location
79,T – SP violation,"The president delivered a speech in the parliament, and the priest did in the circle.",VP-ellipsis,Location
80,T – T,"The student heard the presentation in the university, the spectator will in the auditorium.",VP-ellipsis,Location
80,T – AT,"The student heard the presentation in the university, the spectator will in the bakery.",VP-ellipsis,Location
80,AT – T,"The student heard the presentation in the subway, the spectator will in the auditorium.",VP-ellipsis,Location
80,AT – AT,"The student heard the presentation in the subway, the spectator will in the bakery.",VP-ellipsis,Location
80,T – SP violation,"The student heard the presentation in the university, the spectator will in the monkey.",VP-ellipsis,Location
81,T – T,"The refugees found shelter in the church, and so did civilians in bunkers.",Do-x/ Do-so anaphora,Location
81,T – AT,"The refugees found shelter in the church, and so did civilians in supermarkets.",Do-x/ Do-so anaphora,Location
81,AT – T,"The refugees found shelter in the bakery, and so did civilians in bunkers.",Do-x/ Do-so anaphora,Location
81,AT – AT,"The refugees found shelter in the bakery, and so did civilians in supermarkets.",Do-x/ Do-so anaphora,Location
81,T – SP violation,"The refugees found shelter in the church, and so did civilians in the inflation.",Do-x/ Do-so anaphora,Location
82,T – T,"The dog played with his owner in the park, and the cat did the same thing in the house.",Do-x/ Do-so anaphora,Location
82,T – AT,"The dog played with his owner in the park, and the cat did the same thing in the supermarket.",Do-x/ Do-so anaphora,Location
82,AT – T,"The dog played with his owner in the auditorium, and the cat did the same thing in the house.",Do-x/ Do-so anaphora,Location
82,AT – AT,"The dog played with his owner in the auditorium, and the cat did the same thing in the supermarket.",Do-x/ Do-so anaphora,Location
82,T – SP violation,"The dog played with his owner in the park, and the cat did the same thing in the heat.",Do-x/ Do-so anaphora,Location
83,T – T,"The artist hung the picture in the gallery, and the teenager did so in the room too. ",Do-x/ Do-so anaphora,Location
83,T – AT,"The artist hung the picture in the gallery, and the teenager did so in the gym too.",Do-x/ Do-so anaphora,Location
83,AT – T,"The artist hung the picture in the factory, and the teenager did so in the room too.",Do-x/ Do-so anaphora,Location
83,AT – AT,"The artist hung the picture in the factory, and the teenager did so in the gym too.  ",Do-x/ Do-so anaphora,Location
83,T – SP violation,"The artist hung the picture in the gallery, and the teenager did so in the mother too.",Do-x/ Do-so anaphora,Location
84,T – T,"The hound fetched the bird in the forest, and so did the cat in the garden.",Do-x/ Do-so anaphora,Location
84,T – AT,"The hound fetched the bird in the forest, and so did the cat in the house.",Do-x/ Do-so anaphora,Location
84,AT – T,"The hound fetched the bird in the hospital, and so did the cat in the garden.",Do-x/ Do-so anaphora,Location
84,AT – AT,"The hound fetched the bird in the hospital, and so did the cat in the house. ",Do-x/ Do-so anaphora,Location
84,T – SP violation,"The hound fetched the bird in the forest, and so did the cat in the air. ",Do-x/ Do-so anaphora,Location
85,T – T,"The family sunbathed on the beach, and the billionaire did the same thing on the yacht.",Do-x/ Do-so anaphora,Location
85,T – AT,"The family sunbathed on the beach, and the billionaire did the same thing in the garden.",Do-x/ Do-so anaphora,Location
85,AT – T,"The family sunbathed at the river, and the billionaire did the same thing on the yacht. ",Do-x/ Do-so anaphora,Location
85,AT – AT,"The family sunbathed at the river, and the billionaire did the same thing in the garden.",Do-x/ Do-so anaphora,Location
85,T – SP violation,"The family sunbathed on the beach, and the billionaire did the same thing in the vase.",Do-x/ Do-so anaphora,Location
86,T – T,"The cameraman is recording a video on the set, and the tourist in the museum.",Gapping,Location
86,T – AT,"The cameraman is recording a video on the set, and the tourist in the hospital.",Gapping,Location
86,AT – T,"The cameraman is recording a video in the greenhouse, and the tourist in the museum.",Gapping,Location
86,AT – AT,"The cameraman is recording a video in the greenhouse, and the tourist in the hospital.",Gapping,Location
86,T – SP violation,"The cameraman is recording a video on the set, and the tourist in the shoes.",Gapping,Location
87,T – T,"The professor opens the congress in the university, and the speaker in the auditorium.",Gapping,Location
87,T – AT,"The professor opens the congress in the university, and the speaker in the gym.",Gapping,Location
87,AT – T,"The professor opens the congress in the circus, and the speaker in the gym.",Gapping,Location
87,AT – AT,"The professor opens the congress in the circus, and the speaker in the gym.",Gapping,Location
87,T – SP violation,"The professor opens the congress in the university, and the speaker in the luggage",Gapping,Location
88,T – T,"The painter painted a picture in the square, and the child in the kindergarten.",Gapping,Location
88,T – AT,"The painter painted a picture in the square, and the child in the parking.",Gapping,Location
88,AT – T,"The painter painted a picture in the barracks, and the child in the kindergarten.",Gapping,Location
88,AT – AT,"The painter painted a picture in the barracks, and the child in the parking. ",Gapping,Location
88,T – SP violation,"The painter painted a picture in the square, and the child in the turtle.",Gapping,Location
89,T – T,"The farmer is picking vegetables in the greenhouse, and the grandfather in the garden.",Gapping,Location
89,T – AT,"The farmer is picking vegetables in the greenhouse, and the grandfather on the beach.",Gapping,Location
89,AT – T,"The farmer is picking vegetables in the mountain, and the grandfather on the garden.",Gapping,Location
89,AT – AT,"The farmer is picking vegetables in the mountain, and the grandfather on the beach.",Gapping,Location
89,T – SP violation,"The farmer is picking vegetables in the greenhouse, and the grandfather in the ball.",Gapping,Location
90,T – T,"The priest married the couple in the church, and the mayor in the city hall.",Gapping,Location
90,T – AT,"The priest married the couple in the church, and the mayor in the supermarket.",Gapping,Location
90,AT – T,"The priest married the couple on the beach, and the mayor in the city hall.",Gapping,Location
90,AT – AT,"The priest married the couple on the boat, and the mayor in the supermarket.",Gapping,Location
90,T – SP violation,"The priest married the couple in the church, and the mayor in the umbrella.",Gapping,Location
91,T – T,"The mother will cook the pizza in the oven, and the pizza maker will in the wood oven.",Pseudo-gapping,Location
91,T – AT,"The mother will cook the pizza in the oven, and the pizza maker will in the pan.",Pseudo-gapping,Location
91,AT – T,"The mother will cook the pizza in the microwave, and the pizza maker will in the wood oven.",Pseudo-gapping,Location
91,AT – AT,"The mother will cook the pizza in the microwave, and the pizza maker will in the pan.",Pseudo-gapping,Location
91,T – SP violation,"The mother will cook the pizza in the oven, and the pizza maker will in the plant.",Pseudo-gapping,Location
92,T – T,"The doctor will wear the white coat in the hospital, and the pharmacist will in the pharmacy.",Pseudo-gapping,Location
92,T – AT,"The doctor will wear the white coat in the hospital, and the pharmacist will in the garden.",Pseudo-gapping,Location
92,AT – T,"The doctor will wear the white coat in the gym, and the pharmacist will in the pharmacy.",Pseudo-gapping,Location
92,AT – AT,"The doctor will wear the white coat in the gym, and the pharmacist will in the garden. ",Pseudo-gapping,Location
92,T – SP violation,"The doctor will wear the white coat in the hospital, and the pharmacist will in the allergy.",Pseudo-gapping,Location
93,T – T,"The student will dance in the disco, and the dancer will in the theater.",Pseudo-gapping,Location
93,T – AT,"The student will dance in the disco, and the dancer will in the living room.",Pseudo-gapping,Location
93,AT – T,"The student will dance in the gym, and the dancer will in the theater.",Pseudo-gapping,Location
93,AT – AT,"The student will dance in the gym, and the dancer will in the living room.",Pseudo-gapping,Location
93,T – SP violation,"The student will dance in the disco, and the dancer will in the picture. ",Pseudo-gapping,Location
94,T – T,"The traveller will check the watch on the platform, and the businessman will in the office.",Pseudo-gapping,Location
94,T – AT,"The traveller will check the watch on the platform, and the businessman will at the zoo.",Pseudo-gapping,Location
94,AT – T,"The traveller will check the watch in the prison, and the businessman will in the office.",Pseudo-gapping,Location
94,AT – AT,"The traveller will check the watch in the prison, and the businessman will at the zoo.",Pseudo-gapping,Location
94,T – SP violation,"The traveller will check the watch on the platform, and the businessman will in the bread.",Pseudo-gapping,Location
95,T – T,"The singer will perform in the stadium, and the drag queen will in the nightclub.",Pseudo-gapping,Location
95,T – AT,"The singer will perform in the stadium, and the drag queen will in the kitchen. ",Pseudo-gapping,Location
95,AT – T,"The singer will perform on the beach, and the drag queen will in the nightclub.",Pseudo-gapping,Location
95,AT – AT,"The singer will perform on the beach, and the drag queen will in the kitchen. ",Pseudo-gapping,Location
95,T – SP violation,"The singer will perform in the stadium, and the drag queen will in the bottle.",Pseudo-gapping,Location
96,T – T,"The student completed the project before the exam, but the engineer didn’t before the deadline.",VP-ellipsis,Time
96,T – AT,"The student completed the project before the exam, but the engineer didn’t before the summer.",VP-ellipsis,Time
96,AT – T,"The student completed the project before the execution, but the engineer didn’t before the deadline.",VP-ellipsis,Time
96,AT – AT,"The student completed the project before the execution, but the engineer didn’t before the summer.",VP-ellipsis,Time
96,T – SP violation,"The student completed the project before the exam, but the engineer didn’t before the book.",VP-ellipsis,Time
97,T – T,"The passenger buys a ticket before the departure, the tourist will before the holiday.",VP-ellipsis,Time
97,T – AT,"The passenger buys a ticket before the departure, the tourist will before breakfast.",VP-ellipsis,Time
97,AT – T,"The passenger buys a ticket before the meeting, the tourist will before the holiday.",VP-ellipsis,Time
97,AT – AT,"The passenger buys a ticket before the meeting, the tourist will before breakfast.",VP-ellipsis,Time
97,T – SP violation,"The passenger buys a ticket before the departure, the tourist will before the banana.",VP-ellipsis,Time
98,T – T,"The student cut his hair before the graduation, the groom will before the marriage. ",VP-ellipsis,Time
98,T – AT,"The student cut his hair before the graduation, the groom will before the workout.",VP-ellipsis,Time
98,AT – T,"The student cut his hair before the excursion, the groom will before the marriage.",VP-ellipsis,Time
98,AT – AT,"The student cut his hair before the excursion, the groom will before the workout.",VP-ellipsis,Time
98,T – SP violation,"The student cut his hair before the graduation, the groom will before the bike.",VP-ellipsis,Time
99,T – T,"The musician entertained the crowd during the concert, and the comedian did during the show.",VP-ellipsis,Time
99,T – AT,"The musician entertained the crowd during the concert, and the comedian did during the lesson.",VP-ellipsis,Time
99,AT – T,"The musician entertained the crowd during the flight, and the comedian did during the show.",VP-ellipsis,Time
99,AT – AT,"The musician entertained the crowd during the flight, and the comedian did during the lesson.",VP-ellipsis,Time
99,T – SP violation,"The musician entertained the crowd during the concert, and the comedian did during the television.",VP-ellipsis,Time
100,T – T,"The soldier checked the rifle during the drill, but the hunter didn’t before the hunting.",VP-ellipsis,Time
100,T – AT,"The soldier checked the rifle during the drill, but the hunter didn’t before the wedding.",VP-ellipsis,Time
100,AT – T,"The soldier checked the rifle during the party, but the hunter didn’t before the hunting.",VP-ellipsis,Time
100,AT – AT,"The soldier checked the rifle during the party, but the hunter didn’t before the wedding.",VP-ellipsis,Time
100,T – SP violation,"The soldier checked the rifle during the drill, but the hunter didn’t before the leaf.",VP-ellipsis,Time
101,T – T,"The cook washed his hands before cooking, and so did the doctor before the surgery.",Do-x/ Do-so anaphora,Time
101,T – AT,"The cook washed his hands before cooking, and so did the doctor before the meeting.",Do-x/ Do-so anaphora,Time
101,AT – T,"The cook washed his hands before the match, and so did the doctor before the surgery.",Do-x/ Do-so anaphora,Time
101,AT – AT,"The cook washed his hands before the match, and so did the doctor before the meeting.",Do-x/ Do-so anaphora,Time
101,T – SP violation,"The cook washed his hands before cooking, and so did the doctor before the chair.",Do-x/ Do-so anaphora,Time
102,T – T,"The professor spoke to the audience during the conference, and the businessman did so during the meeting too.",Do-x/ Do-so anaphora,Time
102,T – AT,"The professor spoke to the audience during the conference, and the businessman did so during the workout too.",Do-x/ Do-so anaphora,Time
102,AT – T,"The professor spoke to the audience during the funeral, and the businessman did so during the meeting too.",Do-x/ Do-so anaphora,Time
102,AT – AT,"The professor spoke to the audience during the funeral, and the businessman did so during the workout too.",Do-x/ Do-so anaphora,Time
102,T – SP violation,"The professor spoke to the audience during the conference, and the businessman did so during the door too.",Do-x/ Do-so anaphora,Time
103,T – T,"The student had lunch after school, and the worker did the same thing during the lunch break. ",Do-x/ Do-so anaphora,Time
103,T – AT,"The student had lunch after school, and the worker did the same thing during the meeting.",Do-x/ Do-so anaphora,Time
103,AT – T,"The student had lunch after an excursion, and the worker did the same thing during the lunch break.",Do-x/ Do-so anaphora,Time
103,AT – AT,"The student had lunch after an excursion, and the worker did the same thing during the meeting.",Do-x/ Do-so anaphora,Time
103,T – SP violation,"The student had lunch after school, and the worker did the same thing during the milk.",Do-x/ Do-so anaphora,Time
104,T – T,"The demonstrator carried the flag during the demonstration, and the cheerleader did so before the match too.",Do-x/ Do-so anaphora,Time
104,T – AT,"The demonstrator carried the flag during the demonstration, and the cheerleader did so before dinner too.",Do-x/ Do-so anaphora,Time
104,AT – T,"The demonstrator carried the flag during lunch, and the cheerleader did so before the match too.",Do-x/ Do-so anaphora,Time
104,AT – AT,"The demonstrator carried the flag during lunch, and the cheerleader did so before dinner too.",Do-x/ Do-so anaphora,Time
104,T – SP violation,"The demonstrator carried the flag during the demonstration, and the cheerleader did so before the phone too.",Do-x/ Do-so anaphora,Time
105,T – T,"The boxer delivered a punch during the fight, and so did the criminal during the robbery. ",Do-x/ Do-so anaphora,Time
105,T – AT,"The boxer delivered a punch during the fight, and so did the criminal during the festival.",Do-x/ Do-so anaphora,Time
105,AT – T,"The boxer delivered a punch during the fire, and so did the criminal during the robbery.",Do-x/ Do-so anaphora,Time
105,AT – AT,"The boxer delivered a punch during the fire, and so did the criminal during the festival.",Do-x/ Do-so anaphora,Time
105,T – SP violation,"The boxer delivered a punch during the fight, and so did the criminal during the circle.",Do-x/ Do-so anaphora,Time
106,T – T,"The tourist visits some museums during the vacation, and the students during the school trip.",Gapping,Time
106,T – AT,"The tourist visits some museums during the vacation, and the students during the exams.",Gapping,Time
106,AT – T,"The tourist visits some museums during the party, and the students during the school trip.",Gapping,Time
106,AT – AT,"The tourist visits some museums during the party, and the students during the exams.",Gapping,Time
106,T – SP violation,"The tourist visits some museums during the vacation, and the students during the river.",Gapping,Time
107,T – T,"The bride put on her makeup before the ceremony, and the model before the photo shoot.",Gapping,Time
107,T – AT,"The bride put on her makeup before the ceremony, and the model before the meeting.",Gapping,Time
107,AT – T,"The bride put on her makeup before the party, and the model before the photo shoot.",Gapping,Time
107,AT – AT,"The bride put on her makeup before the party, and the model before the meeting.",Gapping,Time
107,T – SP violation,"The bride put on her makeup before the marriage, and the model before the table. ",Gapping,Time
108,T – T,"The student studied before the exam, and the public employee before the interview.",Gapping,Time
108,T – AT,"The student studied before the exam, and the public employee before the meeting.",Gapping,Time
108,AT – T,"The student studied before the excursion, and the public employee before the interview.",Gapping,Time
108,AT – AT,"The student studied before the excursion, and the public employee before the meeting.",Gapping,Time
108,T – SP violation,"The student studied before the exam, and the public employee before the bag.",Gapping,Time
109,T – T,"The athlete stretches before the workout, and the dancer before the performance. ",Gapping,Time
109,T – AT,"The athlete stretches before the workout, and the dancer before lunch.",Gapping,Time
109,AT – T,"The athlete stretches before the party, and the dancer before the performance.",Gapping,Time
109,AT – AT,"The athlete stretches before the party, and the dancer before lunch.",Gapping,Time
109,T – SP violation,"The athlete stretches before the workout, and the dancer before the bottle.",Gapping,Time
110,T – T,"The actor rehearsed before the play, and the singer before the concert.",Gapping,Time
110,T – AT,"The actor rehearsed before the play, and the singer before the lesson.",Gapping,Time
110,AT – T,"The actor rehearsed before the festival, and the singer before the concert.",Gapping,Time
110,AT – AT,"The actor rehearsed before the festival, and the singer before the lesson.",Gapping,Time
110,T – SP violation,"The actor rehearsed before the play, and the singer before sadness.",Gapping,Time
111,T – T,"The runner will drink some water after the race, and the athlete will after the workout.",Pseudo-gapping,Time
111,T – AT,"The runner will drink some water after the race, and the athlete will after the funeral.",Pseudo-gapping,Time
111,AT – T,"The runner will drink some water after the concert, and the athlete will after the workout.",Pseudo-gapping,Time
111,AT – AT,"The runner will drink some water after the concert, and the athlete will after the funeral.",Pseudo-gapping,Time
111,T – SP violation,"The runner will drink some water after the race, and the athlete will after the cream.",Pseudo-gapping,Time
112,T – T,"The spectator will cry during the film, and the newborn will during the night.",Pseudo-gapping,Time
112,T – AT,"The spectator will cry during the film, and the newborn will during the walk.",Pseudo-gapping,Time
112,AT – T,"The spectator will cry during the conference, and the newborn will during the night.",Pseudo-gapping,Time
112,AT – AT,"The spectator will cry during the conference, and the newborn will during the walk.",Pseudo-gapping,Time
112,T – SP violation,"The spectator will cry during the film, and the newborn will during the tshirt.",Pseudo-gapping,Time
113,T – T,"The student will have a party after his graduation, and the couple will after their marriage.",Pseudo-gapping,Time
113,T – AT,"The student will have a party after his graduation, and the couple will after their meeting.",Pseudo-gapping,Time
113,AT – T,"The student will have a party after the interview, and the couple will after their marriage.",Pseudo-gapping,Time
113,AT – AT,"The student will have a party after the interview, and the couple will after their meeting.",Pseudo-gapping,Time
113,T – SP violation,"The student will have a party after his graduation, and the couple will after their clothes.",Pseudo-gapping,Time
114,T – T,"The student workouts after school, and the businessman will after work.",Pseudo-gapping,Time
114,T – AT,"The student workouts after school, and the businessman will during work.",Pseudo-gapping,Time
114,AT – T,"The student workouts before school, and the businessman will after work.",Pseudo-gapping,Time
114,AT – AT,"The student workouts before school, and the businessman will during work.",Pseudo-gapping,Time
114,T – SP violation,"The student workouts after school, and the businessman will after the rope.",Pseudo-gapping,Time
115,T – T,"The tourist packed his bags before departure, and the family will before the move.",Pseudo-gapping,Time
115,T – AT,"The tourist packed his bags before departure, and the family will before the party.",Pseudo-gapping,Time
115,AT – T,"The tourist packed his bags before the meeting, and the family will before the move.",Pseudo-gapping,Time
115,AT – AT,"The tourist packed his bags before the meeting, and the family will before the party. ",Pseudo-gapping,Time
115,T – SP violation,"The tourist packed his bags before departure, and the family will before the dog.",Pseudo-gapping,Time
